,Unnamed: 0,Price,Vulgewicht wassen,Volume centrifugeren,Aantal programma’s,Fabrieksgarantie,Energieverbruik per 100 cycli,Aantal toeren per minuut (nominale capaciteit),Programmaduur wassen,size,all_properties,Type apparaat_Was-droogcombinatie,Type apparaat_Wasmachine,Type belading_Voorlader,Trommelmateriaal_Kunststof,Kleur (basic)_Wit,Kleur (basic)_Zwart,Energie-efficiëntieklasse (EU 2017/1369)_B,Energie-efficiëntieklasse (EU 2017/1369)_C,Energie-efficiëntieklasse (EU 2017/1369)_D,Energie-efficiëntieklasse (EU 2017/1369)_E,Energie-efficiëntieklasse (EU 2017/1369)_F,Brand_BEKO,Brand_BOSCH,Brand_EVERGLADES,Brand_HAIER,Brand_INVENTUM,Brand_KOENIC,Brand_LG,Brand_MIELE,Brand_OK.,Brand_SAMSUNG,Brand_SHARP,Brand_SIEMENS,Brand_WHIRLPOOL
47,47.0,1099.0,8.0,72.0,23.0,2.0,55.615065748597615,1600.0,210.0,306000.0,15.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
48,48.0,449.0,8.0,78.0,14.0,2.0,63.0,1400.0,130.0,316748.25,10.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
49,49.0,799.0,9.0,75.0,10.0,2.0,49.0,1400.0,220.0,306000.0,11.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,50.0,749.0,9.0,71.0,14.0,2.0,70.59373076354265,1300.0,210.0,299191.36,9.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,51.0,599.0,7.0,72.0,14.0,2.0,61.121333715250486,1400.0,210.0,293700.0,9.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52,52.0,749.0,8.0,76.0,11.0,2.0,47.0,1600.0,210.0,293250.0,11.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,53.0,629.0,8.0,70.0,12.0,2.0,47.0,1400.0,215.0,247817.5,11.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,54.0,521.0,8.0,72.0,15.0,2.0,47.0,1400.0,218.0,246960.0,13.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,55.0,469.0,10.0,76.0,15.0,2.0,59.0,1400.0,238.0,322560.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,56.0,949.0,10.0,71.0,19.0,2.0,45.12394688569195,1300.0,210.0,299191.36,11.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,57.0,549.0,8.0,75.0,14.0,2.0,63.0,1500.0,168.0,288150.0,11.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,58.0,1023.0,10.0,74.0,14.0,2.0,67.0,1600.0,235.0,299191.36,11.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,59.0,1049.0,9.0,75.0,10.0,2.0,49.0,1600.0,220.0,336600.0,10.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,60.0,1199.0,9.0,72.0,25.0,2.0,55.71628309389425,1400.0,210.0,320400.0,9.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
61,61.0,649.0,9.0,73.0,15.0,2.0,49.0,1300.0,210.0,322560.0,11.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,62.0,899.0,9.0,75.0,11.0,2.0,49.0,1400.0,220.0,319070.829,10.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,63.0,699.0,10.0,75.0,10.0,2.0,68.0,1400.0,230.0,336600.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,64.0,999.0,9.0,77.0,11.0,2.0,65.0,1600.0,220.0,336600.0,13.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,65.0,899.0,9.0,71.0,13.0,2.0,56.339284169104666,1400.0,210.0,299191.36,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
66,66.0,479.0,9.0,76.0,16.0,2.0,57.0,1400.0,200.0,311100.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,67.0,769.0,10.0,71.0,13.0,2.0,74.109153141314,1400.0,210.0,299191.36,9.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,68.0,899.0,9.0,71.0,14.0,2.0,50.0,1400.0,228.0,285600.0,12.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
69,69.0,599.0,7.0,78.0,14.0,2.0,78.0,1200.0,205.0,216000.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
70,70.0,949.0,9.0,76.0,10.0,2.0,49.0,1600.0,220.0,319070.829,13.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,71.0,749.0,10.0,67.0,16.0,2.0,51.0,1400.0,238.0,303450.0,9.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,72.0,1169.0,10.0,74.0,15.0,2.0,65.35044556122635,1300.0,210.0,299191.36,9.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,73.0,799.0,12.0,74.0,16.0,2.0,252.0,1400.0,179.0,337680.0,14.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,74.0,699.0,9.0,72.0,19.0,10.0,52.9039220041041,1400.0,210.0,299191.36,10.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
75,75.0,529.0,9.0,75.0,15.0,2.0,49.0,1400.0,188.0,293598.63000000006,12.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
76,76.0,479.0,9.0,76.0,10.0,2.0,77.0,1500.0,73.0,280500.0,10.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
77,77.0,529.0,7.0,75.0,15.0,2.0,69.0,1400.0,200.0,278907.2,9.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,78.0,499.0,8.0,72.0,15.0,2.0,69.0,1400.0,218.0,297360.0,12.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,79.0,399.0,7.0,81.0,14.0,2.0,69.0,1400.0,125.0,289095.625,10.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
80,80.0,379.0,7.0,72.0,15.0,2.0,44.3,1400.0,218.0,275400.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,81.0,419.0,7.0,75.0,15.0,2.0,69.0,1400.0,200.0,276878.784,7.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,82.0,449.0,9.0,76.0,16.0,2.0,57.0,1400.0,200.0,311100.0,8.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
